date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:38	125/125	---M--	200	added ('OK')	text/plain	date:Fri,%2031%20Mar%202023%2010:48:50%20GMT	https://cambridge-club.kyiv.ua/robots.txt		(from )
19:47:39	154613/154613	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jul%202025%2014:17:44%20GMT	https://cambridge-club.kyiv.ua/	D:/cdrivefiles/Desktop/kyiv/cambridge-club.kyiv.ua/index.html	(from )
19:47:40	147565/147565	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Mar%202023%2013:29:18%20GMT	https://cambridge-club.kyiv.ua/wp-content/uploads/2023/03/share_1.jpg	D:/cdrivefiles/Desktop/kyiv/cambridge-club.kyiv.ua/wp-content/uploads/2023/03/share_1.jpg	(from https://cambridge-club.kyiv.ua/)
19:47:40	10462/10462	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2001%20Dec%202022%2006:38:48%20GMT	https://cambridge-club.kyiv.ua/wp-content/themes/cambridge/favicon.ico	D:/cdrivefiles/Desktop/kyiv/cambridge-club.kyiv.ua/wp-content/themes/cambridge/favicon.ico	(from https://cambridge-club.kyiv.ua/)
19:47:40	155844/155844	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Jan%202023%2010:05:00%20GMT	https://cambridge-club.kyiv.ua/wp-content/themes/cambridge/css/bootstrap.min.css	D:/cdrivefiles/Desktop/kyiv/cambridge-club.kyiv.ua/wp-content/themes/cambridge/css/bootstrap.min.css	(from https://cambridge-club.kyiv.ua/)
19:47:40	353906/353906	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20Jul%202025%2012:20:13%20GMT	https://cambridge-club.kyiv.ua/wp-content/themes/cambridge/css/style.css	D:/cdrivefiles/Desktop/kyiv/cambridge-club.kyiv.ua/wp-content/themes/cambridge/css/style.css	(from https://cambridge-club.kyiv.ua/)
19:47:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2027%20Jul%202025%2014:17:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/cdrivefiles/Desktop/kyiv/www.googletagmanager.com/gtm.45445.delayed	(from https://cambridge-club.kyiv.ua/)
19:47:41	46420/46420	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Dec%202022%2004:24:54%20GMT	https://cambridge-club.kyiv.ua/wp-content/uploads/2022/12/osoblivosti-onlajn-zanyat.jpg	D:/cdrivefiles/Desktop/kyiv/cambridge-club.kyiv.ua/wp-content/uploads/2022/12/osoblivosti-onlajn-zanyat.jpg	(from https://cambridge-club.kyiv.ua/)
19:47:41	158755/158755	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jul%202025%2014:17:46%20GMT	https://cambridge-club.kyiv.ua/ru/	D:/cdrivefiles/Desktop/kyiv/cambridge-club.kyiv.ua/ru/index.html	(from https://cambridge-club.kyiv.ua/)
19:47:42	336862/336862	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Dec%202022%2006:38:48%20GMT	https://cambridge-club.kyiv.ua/wp-content/themes/cambridge/images/head_img.png	D:/cdrivefiles/Desktop/kyiv/cambridge-club.kyiv.ua/wp-content/themes/cambridge/images/head_img.png	(from https://cambridge-club.kyiv.ua/)
